homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-5.520373928,-3.539385009,1.323500058,7.223232011,8.198389531,15.73857692,0.963927784,0.410843496,9.639793258,23.36341509,-93.84648099,113.0846519,1.980988919
-6.294537866,-4.313276834,1.324500058,8.824637638,7.720627946,30.22021313,0.862965512,0.538677418,11.80846436,19.50925481,-111.0577978,131.042077,1.981261032
-5.508673032,-3.512173623,1.303200057,13.56313024,14.50117717,30.46755942,1.039525914,0.733259239,18.23603905,25.77869723,-93.4781332,119.9150874,1.996499409
-5.232749575,-3.218018537,1.347600059,9.543666732,10.84305878,18.22691431,0.932599211,0.389724739,9.013539276,21.74130432,-88.25788583,105.876456,2.014731038
-5.682825904,-3.660203564,1.470200064,5.08187094,5.13658538,21.39187146,1.103693308,0.399526661,8.862309607,25.01752881,-96.48139128,116.9024167,2.02262234
-6.024328801,-3.996536298,1.456000064,7.62086544,7.786771158,24.34913422,1.090736363,0.475169036,10.3331907,24.69310666,-103.5201597,125.4490892,2.027792503
-6.319844456,-4.284704878,1.273400056,6.400200001,4.980600073,23.23020002,0.875259801,0.684246906,17.11468047,22.46607722,-109.8780809,136.2033385,2.035139578
-5.598470606,-3.556528182,1.411400062,20.57404226,19.18936225,30.45077578,1.099100586,0.47113522,11.36418799,26.02405325,-93.62246027,119.681654,2.041942424
-5.509761487,-3.464009469,1.37480006,11.96482558,13.11921973,21.46460352,1.03901702,0.494705451,12.22826788,25.30492793,-92.02356734,115.6273184,2.045752018
-5.972355053,-3.912997342,1.332200058,3.750404093,6.199244669,12.96174429,0.935707537,0.389519565,9.754627405,22.71645331,-102.3115774,122.8932451,2.059357711
-5.542959378,-3.480064187,1.37170006,12.36620502,14.04935293,18.39991008,1.043156869,0.44461718,11.32779247,25.59483709,-93.26478014,115.7729005,2.062895191
