homo (eV),lumo (eV),vertical_excitation_energy (eV),zpve_S0 (eV),zpve_S1 (eV),zpve_T1 (eV),total_electronic_energy_S0 (eV),total_electronic_energy_S1 (eV),total_electronic_energy_T1 (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),reduction_potential_S0 (eV),reduction_potential_S1 (eV),reduction_potential_T1 (eV),oxidation_potential_S0 (eV),oxidation_potential_S1 (eV),oxidation_potential_T1 (eV),free_energy_S0,free_energy_AN,free_energy_CAT,free_energy_S1,free_energy_T1,adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol)
-7.845858996,-4.115177942,2.689200118,4.745883452,4.658589325,4.666616684,-36599.20482,,-36597.86255,13.37946169,13.37781356,12.90451508,,1.263007785,-0.086443674,,1.17656411,-2.57344212,,-3.836449905,-1344.86651,-1345.03973,-1344.595541,-1344.777748,-1344.822171,27.82312155,55.69895386,-108.697109,170.0354862
-6.367464382,-3.543466717,2.181700095,5.457025821,5.41403183,5.421215636,-23211.39953,,-23210.25661,12.62079961,11.80929559,21.36722557,,1.107108311,-0.729258252,,0.377850059,-1.133796519,,-2.24090483,-852.850126,-852.999723,-852.632063,-852.782674,-852.810009,25.17377855,42.32673707,-93.87346387,136.8364951
-6.717130695,-3.579657861,2.269200099,7.80648412,7.777912165,7.751027315,-36071.56477,-36069.72275,-36070.12473,3.431696841,4.509477928,11.92324615,1.81344933,1.384590708,-0.646263524,1.167185806,0.738327184,-1.400767429,-3.214216759,-2.785358137,-1325.372619,-1325.525266,-1325.144745,-1325.304963,-1325.32263,31.3685474,42.4547489,-95.78736632,142.9929859
-7.935384457,-3.655849742,2.818600123,5.932490372,5.911864142,,-34699.64543,-34697.60733,,3.110355578,1.746886442,,2.017473923,,-0.567459349,1.450014574,,,,,-1275.020915,-1275.176458,,-1274.945175,,,47.52753166,-97.60463239,
-6.557944085,-4.057761917,1.848000081,5.001561638,4.963465697,4.957996208,-38568.4646,,-38567.52081,15.33589405,14.88881418,27.23447457,,0.900216876,-0.199044391,,0.701172485,-1.19662761,,-2.096844486,-1417.230626,-1417.399708,-1417.010254,-1417.174773,-1417.197226,20.9588006,35.04826018,-106.1004767,138.2854133
-6.776723631,-4.240622433,1.792400078,6.203542991,6.166862042,6.158807472,-36825.17877,-36823.67051,-36824.24143,1.004000324,2.186900011,9.595800007,1.471575379,0.892606123,0.043898866,1.515474244,0.936504989,-1.423788262,-2.895363641,-2.316394385,-1353.127631,-1353.305641,-1352.898911,-1353.074686,-1353.09674,19.38438052,33.22346401,-111.7028771,143.5238585
-6.73019216,-4.03898606,1.999700087,5.155822986,5.122489038,5.117101184,-36904.09244,,-36903.22214,9.933181149,10.84607267,21.33383297,,0.831576154,-0.238337632,,0.593238522,-1.194831658,,-2.026407812,-1356.063458,-1356.231096,-1355.843152,-1356.007941,-1356.03293,19.15659475,34.83741715,-105.1943537,138.2439978
-7.320679242,-3.778573094,2.695400118,4.610071424,4.54718591,4.545172267,-26125.85122,-26123.50074,-26124.1939,5.765645953,5.968044408,7.715632322,2.287593453,1.592418786,-0.500954721,1.786638732,1.091464065,-2.019554353,-4.307147806,-3.611973139,-959.983796,-960.141783,-959.733171,-959.897525,-959.92565,36.48713831,54.13582894,-99.13826438,157.2694431
-6.320660797,-3.60142697,2.044600089,5.965497784,5.925388201,5.919945923,-23812.32659,,-23811.35379,4.583060607,4.563192835,12.56774696,,0.927247116,-0.688033002,,0.239214114,-0.919125893,,-1.846373009,-874.911304,-875.062416,-874.70113,-874.850885,-874.879997,19.64542426,37.91346627,-94.82414001,131.8860766
-8.121238225,-4.39545522,2.780200122,3.695197407,3.634924186,3.595222774,-29696.11013,-29693.80769,-29694.07363,7.374875505,7.085470893,12.69622094,2.24216174,1.936522792,0.133206635,2.375368375,2.069729428,,,,-1091.223139,-1091.404431,,-1091.140899,-1091.152807,44.13396299,51.60634016,-113.7623616,
-6.611550516,-4.078714684,1.774700078,6.560257053,6.527576178,6.516337876,-36389.59245,-36388.18035,-36388.72904,7.655632037,6.779653498,11.64874499,1.379418408,0.819487496,-0.177792298,1.20162611,0.641695198,-1.24432917,-2.623747578,-2.063816666,-1337.107889,-1337.277752,-1336.885764,-1337.05627,-1337.078058,18.71922098,32.39138707,-106.5905613,139.3854366
-6.088547673,-3.975583531,1.504100066,6.801322724,,6.749675513,-32850.91102,,-32850.33,15.02930839,,29.99256119,,0.529369492,-0.251562366,,0.277807125,,,,-1207.0519,-1207.219052,,,-1207.033937,11.27194417,,-104.8893844,
-7.45510349,-4.529607355,2.162500095,5.745847474,5.676050268,5.685274928,-44013.2276,,-44012.18265,1.42340007,0.437901701,2.185700002,,0.984368632,0.210296493,,1.194665125,-2.042792877,,-3.027161509,-1617.303686,-1617.487811,-1617.052218,-1617.23652,-1617.267936,22.43344675,42.14726949,-115.5400946,157.7984332
-7.051558632,-4.239806091,2.035600089,4.686045614,4.65200417,4.641282884,-56302.19218,-56300.58061,-56301.27697,5.69294687,5.217195378,9.394954739,1.577526485,0.870439456,-0.026551413,1.550975071,0.843888043,-1.673888113,-3.251414598,-2.544327569,-2068.950487,-2069.125908,-2068.712576,-2068.890522,-2068.917619,20.62496581,37.62857718,-110.0782563,149.2912937
-6.524746194,-4.056129234,1.676700073,6.870766182,6.849514089,6.835282534,-57132.04003,,-57131.1925,11.14976029,12.00487475,20.38787555,,0.81205008,-0.194962683,,0.617087397,-1.097360473,,-1.909410552,-2099.370864,-2099.540096,-2099.15414,-2099.326494,-2099.340797,18.8673131,27.84257433,-106.1946031,135.9962605
-7.557418302,-4.350828547,2.376900104,5.377459727,5.337377355,5.326928183,-69240.51218,-69238.66316,-69239.37063,5.211903015,5.690293621,9.96012027,1.808935994,1.091015225,0.091056198,1.899992192,1.182071423,-2.115556123,-3.924492117,-3.206571348,-2544.409135,-2544.588898,-2544.154976,-2544.341148,-2544.369421,24.92089243,42.66245438,-112.8029004,159.4870599
-5.997933756,-3.892044575,1.408600062,6.170617213,6.153365195,6.14248064,-36771.27922,,-36770.74408,11.04048052,11.58804427,20.06609485,,0.507003637,-0.346557316,,0.160446321,-0.667338936,,-1.174342573,-1351.146141,-1351.309802,-1350.94522,-1351.106955,-1351.127467,11.71810307,24.58956767,-102.6987504,126.0797358
-7.382176975,-3.93748759,2.601000114,5.163142849,5.105699613,5.102379824,-28988.34319,-28986.09703,-28986.69376,5.968287417,6.055959709,13.52635558,2.188721245,1.588667397,-0.323373215,1.865348031,1.265294182,-2.07427645,-4.262997696,-3.662943847,-1065.159487,-1065.324,-1064.906862,-1065.079331,-1065.102241,35.92238021,50.2986114,-103.2333881,158.5244611
-7.269521836,-3.874901401,2.50830011,5.278274224,5.246709016,5.21557919,-25695.26615,,-25693.87456,5.780309865,7.116663784,13.84812531,,1.328896075,-0.421361416,,0.907534659,-1.929756778,,-3.258652853,-944.13861,-944.299522,-943.891296,-944.07123,-944.088654,31.3478396,42.28155642,-100.9737282,155.1917608
-6.797676398,-3.59299144,2.371100104,5.340125705,5.291988763,5.285730144,-26923.95543,,-26922.67002,5.575628929,5.615032553,4.144289954,,1.231015249,-0.61477995,,0.616235299,-1.474319806,,-2.705335056,-989.284053,-989.437857,-989.053476,-989.212482,-989.241163,26.91386101,44.91144664,-96.51339424,144.6891427
-7.020537651,-4.165519007,2.075100091,6.789240868,6.745865919,6.723770273,-35463.8213,-35462.24568,-35462.6892,8.955193644,8.883913747,16.4995316,1.532243544,1.066624299,-0.078770064,1.45347348,0.987854235,-1.588770897,-3.121014441,-2.655395196,-1303.077026,-1303.250528,-1302.842243,-1303.021054,-1303.039191,23.74180301,35.12293375,-108.8740665,147.3284455
-7.182717513,-3.73040894,2.619300115,4.811735007,4.763788545,4.752686299,-30277.82673,,-30276.35599,6.999439913,7.195206294,4.810555803,,1.411691888,-0.505879982,,0.905811906,-1.900667806,,-3.312359694,-1112.560026,-1112.717832,-1112.313781,-1112.477096,-1112.507686,32.84382106,52.03932137,-99.02468525,154.5209537
-5.12390403,-3.185364874,1.298100057,8.975403639,8.972845769,8.980573803,-28993.54486,,-28993.12962,15.7736278,16.50834836,24.27347281,,0.42041755,-1.13615011,,-0.71573256,0.054443084,,-0.365974466,-1065.220713,-1065.355357,-1065.046317,-1065.182125,-1065.203973,10.50450066,24.21431729,-84.4903218,109.4350596
-6.479847407,-4.090959808,1.726600075,5.298818821,5.250953993,5.242246349,-27194.06743,,-27193.28813,12.65982096,11.60486907,22.97565852,,0.722729031,-0.237847828,,0.484881203,-1.25355383,,-1.976282861,-999.218543,-999.386199,-998.996079,-999.166169,-999.189842,18.01013581,32.86515637,-105.2056489,139.5981622
