Real,Predict
0.898600039,1.0961373932720284
0.997700044,1.151136671676877
1.072500047,1.2160398629158296
1.101900048,1.2526087102518588
1.14670005,1.2742002611667196
1.093700048,1.1999358944849776
1.129700049,1.2897543260183029
1.159500051,1.327648313945605
1.113200049,1.2423687597084472
1.175000051,1.2701240131392235
1.179600052,1.3118912243972336
1.196500052,1.2978719100935465
1.179800052,1.3208601612795405
1.215900053,1.3190625555173003
1.192700052,1.2970869065849877
1.279800056,1.3728338803499136
1.334100058,1.4195939727101252
1.263100055,1.3950717182067998
1.233100054,1.3251277746825953
1.257500055,1.2396135225573888
1.252300055,1.3571104696478917
1.13630005,1.1804434187937298
1.229600054,1.3514178522497244
1.236000054,1.1833822398399494
1.281300056,1.395104735242916
1.258600055,1.3579801674375345
1.272600056,1.2527510256746999
1.294200057,1.4276234317855312
1.310700057,1.4245911261684754
1.303200057,1.4820358667741225
1.38330006,1.4983016579234196
1.306600057,1.4382903858126854
1.300200057,1.4409944992078663
1.323500058,1.4206786567293292
1.324500058,1.3179786590814655
1.303200057,1.4991743018779453
1.347600059,1.3885200947441023
1.470200064,1.5665972591581714
1.456000064,1.5529348064464945
1.273400056,1.3303312498646482
1.411400062,1.5617519692464767
1.497200065,1.4480543645188595
1.37480006,1.4986421943166146
1.332200058,1.391699894939585
1.37170006,1.5029721918827816
1.345500059,1.4388993823022576
1.357300059,1.3824420712435896
1.556100068,1.727971586377977
1.588000069,1.7088664965417657
1.303800057,1.2337114737927233
1.37140006,1.520320498813144
1.37040006,1.4586577242972576
1.543600067,1.1292183549707715
1.318300058,1.3103099230285569
1.309700057,1.3908335741329494
1.60390007,1.7527616875144438
1.394400061,1.5102776203830437
1.550800068,1.6830937025627066
1.517500066,1.5654996855006682
1.442600063,1.5402797964675936
1.391200061,1.3082549447678251
1.516800066,1.6190736459030262
1.505800066,1.6275201515178144
1.535000067,1.633236371445594
1.299400057,1.3284623886288673
1.581100069,1.729896153182424
1.446200063,1.5320306004616318
1.339200059,1.3690371565519182
1.434700063,1.4326435935694024
1.428000062,1.5137410573534895
1.437600063,1.3546221181492462
1.455700064,1.5777449543783741
1.543200067,1.6283069358174616
1.446000063,1.3729729447322432
1.566500068,1.6736184756863999
1.498000065,1.6284371220490546
1.684900074,1.8367921308300992
1.466100064,1.5998625331023688
1.573800069,1.6768172624024715
1.474700064,1.543996081559557
1.59400007,1.5759787976099495
1.541400067,1.6439492205831512
1.627900071,1.707408698792392
1.483000065,1.5505672237253632
1.486300065,1.6206254327020928
1.465800064,1.5759936173915845
1.444000063,1.5482432841837492
1.61180007,1.6877685883808073
1.657500072,1.7750334564704155
1.412600062,1.4075556462428436
1.495200065,1.6607989344460277
1.586200069,1.6663603120251693
1.587400069,1.6631194945323236
1.519100066,1.6307742335246047
1.512100066,1.3857190678374292
1.677800073,1.783301113541481
1.479700065,1.6282259133615122
1.660200073,1.5911368852092906
1.480600065,1.6204841740767413
1.503200066,1.573662995319189
1.495800065,1.5137794630444297
1.548100068,1.6597828613392767
1.544500068,1.6847799428393806
1.543000067,1.6284363717140748
1.721000075,1.7810118631191596
1.59940007,1.6660918780842322
1.714900075,1.8937118439931016
1.625800071,1.73341605789768
1.523100067,1.6690281131498366
1.633700071,1.7196885279091898
1.512700066,1.6337323243443906
1.510800066,1.6533456593418534
1.516100066,1.6053487838921148
1.533500067,1.617390183602267
1.540100067,1.614193612058781
1.450800063,1.3191254239811643
1.670500073,1.8089520327029855
1.60170007,1.7275988141012544
1.546900068,1.6147640943752979
1.671300073,1.7772347365599401
1.513000066,1.6018766207493602
1.481500065,1.409607026807227
1.639800072,1.7670454465658634
1.509400066,1.6153497240322099
1.646400072,1.7785154784387294
1.523900067,1.5425527275837518
1.744400076,1.8802058612938994
1.689500074,1.8179189197487817
1.658400073,1.4974473421978949
1.656900072,1.525621712621592
1.469100064,1.4595112085464657
1.724700075,1.8493382723800573
1.767800077,1.9202259814529858
1.564900068,1.6296428867668649
1.588700069,1.716459988755982
1.722600075,1.8370825261439268
1.59340007,1.4627696099977536
1.546400068,1.3952976027335664
1.573900069,1.6316352883688872
1.683300074,1.6515072319762174
1.586500069,1.664002640126073
1.778300078,1.9313367778051633
1.661600073,1.7892279081457652
1.476100065,1.5257625971323163
1.574500069,1.708240714254246
1.583900069,1.654921531790328
1.780100078,1.901404370545928
1.697700074,1.869487102291696
1.577000069,1.7031798926011392
1.579700069,1.5077233538354777
1.735200076,1.892481594410415
1.59590007,1.6812280057103919
1.59700007,1.682235416600866
1.717800075,1.4519257358473923
1.653000072,1.750723841906377
1.654500072,1.5343289226410626
1.758600077,1.9083478910953147
1.614300071,1.720875269365563
1.628300071,1.5930206163806828
1.638600072,1.728671032505626
1.644800072,1.4960896870826377
1.721800075,1.8582960909584783
1.699600074,1.5252795341753518
1.674500073,1.8270434935346906
1.620600071,1.7452432132181486
1.585500069,1.7057815319954377
1.614000071,1.4871423659886465
1.810600079,1.9643042022101893
1.697000074,1.8015969418954363
1.680800073,1.7797507666408021
1.61120007,1.702689950935467
1.469600064,1.3977617584634356
1.616600071,1.6784642358383781
1.766300077,1.8693384729413247
1.628800071,1.4823080915190676
1.701000074,1.5202572048787966
1.59300007,1.7186514843816505
1.533700067,1.5512000877962084
1.642800072,1.7503281540490878
1.785000078,1.9530125091209365
1.761900077,1.8625319077242046
1.627100071,1.68473362208936
1.743700076,1.8459816436325904
1.721900075,1.8296142026397786
1.59320007,1.679280224331666
1.663400073,1.621343529263235
1.776900078,1.5452393294398465
1.757100077,1.910949400762418
1.775800078,1.8896301693478048
1.755100077,1.8970011258316537
1.754100077,1.8579880989297088
1.719900075,1.8218075254053052
1.752900077,1.866540944213679
1.654000072,1.530976885682232
1.756100077,1.9102518354355782
1.557800068,1.571973689756546
1.566400068,1.51596513826
1.633300071,1.5256779823139754
